help_label,high_stress_group,count,percent
I want help but have not yet sought it,0,274,50.55350553505535
I want help but have not yet sought it,1,268,49.44649446494465
I want help/have asked for help but have not yet received it,0,46,38.01652892561984
I want help/have asked for help but have not yet received it,1,75,61.98347107438017
No,0,1025,73.05773342836778
No,1,378,26.942266571632217
Prefer not to say,0,64,70.32967032967034
Prefer not to say,1,27,29.67032967032967
Yes,0,640,59.204440333024976
Yes,1,441,40.795559666975024
