aspect_code,q_no,aspect_text,aspect_short,high_stress_group,high_stress_label,n,mean_score,aspect_order
v074_num,Q27.a,How satisfied are you with each of the following attributes or aspects of your degree? Availability of funding         [numeric],Availability of funding,0,Non-high-stress,2058,3.792031098153547,0
v074_num,Q27.a,How satisfied are you with each of the following attributes or aspects of your degree? Availability of funding         [numeric],Availability of funding,1,High-stress,1194,3.8484087102177553,0
v075_num,Q27.b,How satisfied are you with each of the following attributes or aspects of your degree? Hours worked [numeric],Hours worked,0,Non-high-stress,2058,3.075801749271137,1
v075_num,Q27.b,How satisfied are you with each of the following attributes or aspects of your degree? Hours worked [numeric],Hours worked,1,High-stress,1194,3.7889447236180906,1
v076_num,Q27.c,How satisfied are you with each of the following attributes or aspects of your degree? Social environment [numeric],Social environment,0,Non-high-stress,2058,3.127308066083576,2
v076_num,Q27.c,How satisfied are you with each of the following attributes or aspects of your degree? Social environment [numeric],Social environment,1,High-stress,1194,3.670854271356784,2
v077_num,Q27.d,How satisfied are you with each of the following attributes or aspects of your degree? Degree of independence [numeric],Degree of independence,0,Non-high-stress,2058,2.511661807580175,3
v077_num,Q27.d,How satisfied are you with each of the following attributes or aspects of your degree? Degree of independence [numeric],Degree of independence,1,High-stress,1194,3.0284757118927974,3
v078_num,Q27.e,How satisfied are you with each of the following attributes or aspects of your degree? Recognition from supervisor [numeric],Recognition from supervisor,0,Non-high-stress,2058,2.989310009718173,4
v078_num,Q27.e,How satisfied are you with each of the following attributes or aspects of your degree? Recognition from supervisor [numeric],Recognition from supervisor,1,High-stress,1194,3.768006700167504,4
v079_num,Q27.f,How satisfied are you with each of the following attributes or aspects of your degree? Overall relationship with supervisor [numeric],Overall relationship with supervisor,0,Non-high-stress,2058,2.805150631681244,5
v079_num,Q27.f,How satisfied are you with each of the following attributes or aspects of your degree? Overall relationship with supervisor [numeric],Overall relationship with supervisor,1,High-stress,1194,3.5376884422110555,5
v080_num,Q27.g,How satisfied are you with each of the following attributes or aspects of your degree? Overall compensation and benefits [numeric],Overall compensation and benefits,0,Non-high-stress,1494,3.931726907630522,6
v080_num,Q27.g,How satisfied are you with each of the following attributes or aspects of your degree? Overall compensation and benefits [numeric],Overall compensation and benefits,1,High-stress,1002,2.9510978043912175,6
v081_num,Q27.h,How satisfied are you with each of the following attributes or aspects of your degree? Vacation time [numeric],Vacation time,0,Non-high-stress,2058,3.7254616132167153,7
v081_num,Q27.h,How satisfied are you with each of the following attributes or aspects of your degree? Vacation time [numeric],Vacation time,1,High-stress,1194,3.912897822445561,7
v082_num,Q27.i,How satisfied are you with each of the following attributes or aspects of your degree? Guidance received from adviser in lab/research  [numeric],Guidance received from adviser in lab/research,0,Non-high-stress,2058,3.4062196307094266,8
v082_num,Q27.i,How satisfied are you with each of the following attributes or aspects of your degree? Guidance received from adviser in lab/research  [numeric],Guidance received from adviser in lab/research,1,High-stress,1194,4.078726968174204,8
v083_num,Q27.j,How satisfied are you with each of the following attributes or aspects of your degree? Ability to attend meetings and conferences [numeric],Ability to attend meetings and conferences,0,Non-high-stress,2058,3.3284742468415938,9
v083_num,Q27.j,How satisfied are you with each of the following attributes or aspects of your degree? Ability to attend meetings and conferences [numeric],Ability to attend meetings and conferences,1,High-stress,1194,3.8341708542713566,9
v084_num,Q27.k,How satisfied are you with each of the following attributes or aspects of your degree? Work-life balance [numeric],Work-life balance,0,Non-high-stress,2058,3.446550048590865,10
v084_num,Q27.k,How satisfied are you with each of the following attributes or aspects of your degree? Work-life balance [numeric],Work-life balance,1,High-stress,1194,3.0385259631490786,10
v085_num,Q27.l,How satisfied are you with each of the following attributes or aspects of your degree? Career pathway guidance and advice [numeric],Career pathway guidance and advice,0,Non-high-stress,2058,3.4402332361516037,11
v085_num,Q27.l,How satisfied are you with each of the following attributes or aspects of your degree? Career pathway guidance and advice [numeric],Career pathway guidance and advice,1,High-stress,1194,3.370184254606365,11
v086_num,Q27.m,How satisfied are you with each of the following attributes or aspects of your degree? Quality of teaching [numeric],Quality of teaching,0,Non-high-stress,2058,3.5597667638483963,12
v086_num,Q27.m,How satisfied are you with each of the following attributes or aspects of your degree? Quality of teaching [numeric],Quality of teaching,1,High-stress,1194,3.886934673366834,12
v087_num,Q27.n,How satisfied are you with each of the following attributes or aspects of your degree? Balance of teaching and practical elements [numeric],Balance of teaching and practical elements,0,Non-high-stress,2058,3.3945578231292517,13
v087_num,Q27.n,How satisfied are you with each of the following attributes or aspects of your degree? Balance of teaching and practical elements [numeric],Balance of teaching and practical elements,1,High-stress,1194,3.8852596314907872,13
